TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
STBP3;7,03;4,26;18,12;2,70;1,28;42,35;26,60;20,19;13,75;12,11;-1,60;-0,31;3,66;7,77;-1,77;2,47;14,90;7,05;12,38;0,47;0,53;0,35;13,09;;19.433.290,42;2,60;0,39;0,02;6.054.203.366,06
SULA11;25,11;0,90;35,29;1,31;0,36;5,36;-2,49;1,47;-20,79;6,92;27,90;-1,76;0,52;0,97;-1,12;2,24;3,72;1,03;-8,10;0,28;0,72;0,70;4,58;-15,30;71.483.112,17;19,14;0,71;-0,41;10.795.160.694,50
SUZB3;47,17;2,84;5,41;2,66;0,52;48,16;39,87;27,20;3,69;6,86;3,18;2,29;1,47;2,84;-0,73;2,87;49,16;9,64;16,41;0,20;0,80;0,35;32,90;47,54;239.095.100,21;17,68;8,69;-3,20;63.843.262.089,60
SYNE3;4,26;204,53;0,51;0,39;0,14;70,26;69,27;54,19;0,40;0,93;0,52;0,51;0,28;0,96;-0,17;4,61;76,79;26,93;36,18;0,35;0,41;0,50;40,50;;1.906.752,50;10,82;8,31;0,00;656.371.113,50
TAEE11;41,82;9,19;6,50;1,99;0,83;84,47;102,90;66,02;4,17;5,97;1,80;0,86;4,29;7,61;-1,02;2,32;30,61;12,75;20,58;0,42;0,58;0,19;20,07;20,80;67.734.308,33;21,03;6,44;-0,67;14.406.944.290,74
TAEE4;13,91;9,20;6,48;1,98;0,83;84,47;102,90;66,02;4,16;5,97;1,80;0,86;4,28;7,59;-1,02;2,32;30,61;12,75;20,58;0,42;0,58;0,19;20,07;20,80;1.451.377,63;7,01;2,15;-0,67;14.406.944.290,74
TASA4;19,50;8,33;3,10;2,67;1,14;48,79;36,25;26,59;2,28;2,47;0,19;0,22;0,83;4,49;-3,69;1,58;86,01;36,57;50,46;0,43;0,57;1,38;26,98;;7.400.756,21;7,30;6,28;0,06;2.367.120.879,42
TECN3;2,35;3,45;6,65;0,56;0,29;52,78;16,70;8,11;3,23;4,01;0,77;0,13;0,54;0,60;-0,81;3,81;8,38;4,32;10,61;0,52;0,48;0,53;-2,72;;1.205.155,71;4,22;0,35;-0,02;180.554.667,40
TFCO4;11,15;1,11;117,74;36,78;21,85;59,33;22,80;18,60;96,05;16,32;0,09;0,03;21,89;41,67;-91,99;3,20;31,24;18,56;24,94;0,59;0,41;1,00;;;2.980.514,17;0,30;0,09;0,70;1.788.841.616,80
TGMA3;15,19;6,15;8,89;1,42;1,02;18,18;11,93;10,50;7,78;7,73;-0,20;-0,03;0,93;3,43;-1,86;2,51;15,23;10,36;12,08;0,68;0,32;0,99;1,74;50,44;2.571.043,25;10,72;1,71;0,94;1.019.745.036,75
TIMS3;12,52;3,84;11,25;1,20;0,56;52,43;20,24;13,88;7,72;11,35;3,68;0,57;1,56;-32,66;-0,67;0,90;10,63;4,96;8,96;0,47;0,53;0,36;2,95;29,12;81.294.140,38;10,46;1,11;0,83;30.114.806.711,12
TOTS3;27,78;1,15;41,71;3,96;1,68;66,59;14,43;10,44;30,84;28,62;-2,37;-0,28;4,67;6,73;-4,14;1,67;8,53;3,64;6,60;0,43;0,55;0,35;8,34;19,20;99.249.672,50;7,02;0,67;1,83;17.114.489.609,13
TRIS3;4,54;4,84;8,87;0,69;0,37;35,09;18,15;12,98;6,34;8,66;2,25;0,24;1,15;0,70;-1,34;3,72;7,76;4,17;6,10;0,54;0,44;0,32;20,68;105,70;4.200.615,46;6,60;0,51;-0,20;856.574.499,42
TRPL4;23,67;6,27;5,51;1,00;0,50;69,24;74,10;47,45;3,53;5,40;1,56;0,44;2,62;4,26;-0,58;7,49;18,13;9,07;15,71;0,50;0,49;0,19;-6,60;-10,52;38.297.475,83;23,68;4,29;-0,28;16.963.425.525,24
