TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
DESK3;10,07;0,14;26,94;0,98;0,37;56,48;24,01;6,00;6,73;10,37;2,75;0,40;1,62;-14,63;-0,47;1,06;3,66;1,36;6,86;0,37;0,62;0,23;;;2.863.161,09;10,29;0,37;0,59;877.901.723,91
DEXP3;7,07;5,44;3,84;1,26;0,50;19,23;12,15;7,93;2,51;3,31;0,81;0,41;0,30;1,21;-1,43;2,75;32,86;13,05;26,68;0,40;0,52;1,64;32,29;26,90;1.996.172,24;5,60;1,84;0,26;662.597.842,65
DIRR3;12,80;3,67;11,97;1,41;0,33;35,71;18,38;8,04;5,24;5,91;0,68;0,18;0,96;0,82;-0,69;4,64;11,76;2,79;11,90;0,24;0,73;0,35;5,52;;19.907.395,74;9,09;1,07;0,70;1.920.000.000,00
DMMO3;1,69;;-38,71;-1,71;2,50;65,75;9,94;-7,55;29,38;26,74;-2,64;;2,92;8,38;-6,05;2,04;-4,42;-6,47;-5,82;-1,47;2,47;0,86;-1,34;;17.395.642,35;-0,99;-0,04;0,37;861.367.766,61
DMVF3;4,71;;15,35;0,28;0,16;32,08;1,30;1,18;13,92;12,13;-1,79;-0,04;0,18;3,71;-0,23;1,19;1,84;1,07;-0,38;0,58;0,42;0,91;;;429.604,97;16,66;0,31;0,17;238.339.385,82
DXCO3;10,71;11,96;6,63;1,42;0,53;34,90;16,51;14,01;5,63;8,09;2,47;0,62;0,93;4,56;-0,85;1,44;21,41;7,98;12,75;0,37;0,63;0,57;15,88;120,37;35.877.543,56;7,54;1,62;-1,02;8.149.913.205,21
ECOR3;6,47;;28,02;2,12;0,28;33,97;28,33;3,20;3,17;9,38;6,21;4,16;0,90;-6,09;-0,32;0,69;7,57;1,01;9,77;0,13;0,85;0,32;10,46;;25.647.539,94;3,05;0,23;-0,19;4.505.282.429,28
EGIE3;42,42;5,28;19,72;4,37;0,87;52,09;43,85;14,37;6,46;9,51;3,04;2,06;2,83;15,54;-1,09;1,40;22,15;4,43;17,69;0,20;0,80;0,31;14,25;2,55;78.572.197,82;9,71;2,15;-0,76;34.611.654.730,80
ELET3;49,28;1,50;20,14;1,44;0,60;68,27;32,11;14,26;8,94;10,85;1,88;0,30;2,87;6,58;-0,77;1,71;7,15;2,98;6,39;0,42;0,58;0,21;-9,01;10,45;488.404.043,21;34,25;2,45;23,44;113.807.832.072,00
ELET6;50,72;3,03;20,72;1,48;0,62;68,27;32,11;14,26;9,20;10,85;1,88;0,30;2,96;6,77;-0,79;1,71;7,15;2,98;6,39;0,42;0,58;0,21;-9,01;10,45;145.928.022,59;34,25;2,45;24,12;113.807.832.072,00
ELMD3;11,72;;-172,88;2,23;0,84;32,68;7,77;-1,62;36,10;48,22;12,12;0,75;2,81;-11,08;-1,00;0,67;-1,29;-0,49;2,58;0,38;0,55;0,30;;;2.049.306,00;5,26;-0,07;2,08;1.640.609.585,16
EMBR3;15,31;;-532,26;0,79;0,22;18,73;3,05;-0,10;18,22;29,73;11,51;0,50;0,56;0,79;-0,50;2,03;-0,15;-0,04;1,92;0,28;0,70;0,40;1,13;;73.759.240,47;19,39;-0,03;5,49;11.336.519.823,64
ENAT3;16,00;10,68;4,22;1,08;0,71;40,97;61,48;38,35;2,63;2,02;-0,61;-0,25;1,62;2,94;-1,16;2,63;25,67;16,80;25,67;0,65;0,35;0,44;30,52;45,79;23.801.190,18;14,76;3,79;0,05;4.252.910.480,00
ENBR3;23,66;9,27;6,18;1,22;0,39;24,72;22,66;11,65;3,18;5,67;2,49;0,96;0,72;3,57;-0,53;1,66;19,77;6,25;14,22;0,32;0,65;0,54;15,05;27,24;64.490.969,24;19,36;3,83;0,30;13.750.370.240,88
ENEV3;15,81;;21,15;1,84;0,94;38,42;33,00;22,27;14,27;17,20;2,93;0,38;4,71;7,41;-1,30;1,85;8,69;4,46;6,47;0,51;0,49;0,20;18,85;;98.434.845,68;8,60;0,75;1,86;25.045.678.831,29
ENGI11;47,07;4,67;6,23;1,75;0,29;24,82;20,32;9,78;3,00;6,73;3,74;2,17;0,61;7,47;-0,39;1,19;28,00;4,70;12,55;0,17;0,81;0,48;17,81;77,69;70.987.018,85;26,97;7,55;0,65;17.084.822.234,76
ENJU3;1,35;;-2,55;0,67;0,59;30,49;-106,80;-86,00;-2,05;0,72;2,77;-0,91;2,19;0,77;-4,63;8,71;-26,46;-23,37;-32,87;0,88;0,12;0,27;;;2.725.303,65;2,00;-0,53;-0,13;270.328.298,40
EQTL3;25,29;2,53;8,81;1,81;0,40;29,60;19,80;11,63;5,17;9,31;4,13;1,44;1,02;3,46;-0,55;1,73;20,51;4,54;10,95;0,22;0,75;0,39;24,97;35,40;171.023.136,56;14,00;2,87;1,06;28.550.755.654,65
ESPA3;2,61;3,14;37,76;0,91;0,29;27,62;16,15;2,37;5,55;12,40;6,83;1,09;0,90;10,30;-0,46;1,30;2,33;0,77;4,84;0,33;0,67;0,32;;;14.198.055,35;2,87;0,07;-0,40;637.454.827,26
ETER3;12,34;7,56;3,26;1,22;0,72;38,60;26,38;20,93;2,59;2,20;-0,39;-0,18;0,68;1,36;-2,52;3,79;37,27;21,98;34,78;0,59;0,41;1,05;6,30;;10.990.833,03;10,16;3,79;-0,20;762.322.935,50
EUCA4;8,23;3,44;1,95;0,38;0,21;34,22;17,67;15,26;1,68;3,00;1,07;0,24;0,30;1,56;-0,33;1,64;19,41;11,02;15,11;0,57;0,43;0,72;16,44;63,39;267.983,97;21,75;4,22;0,06;873.846.465,88
EVEN3;5,78;1,27;7,36;0,65;0,20;25,88;8,86;7,56;6,28;4,15;-2,56;-0,27;0,56;0,54;-0,62;1,90;9,05;2,75;4,99;0,30;0,57;0,36;5,48;145,48;6.581.428,79;8,96;0,79;0,09;1.225.360.000,00
EZTC3;20,09;3,30;10,95;1,01;0,82;42,28;29,15;40,39;15,17;13,09;-2,08;-0,14;4,42;2,13;-1,52;6,35;9,24;7,53;5,38;0,81;0,17;0,19;10,85;11,99;33.065.703,15;19,85;1,83;-0,78;4.439.671.079,27
