TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
TPIS3;1,33;1,41;8,72;0,27;0,08;15,74;7,91;2,72;2,99;23,91;20,92;1,87;0,24;-0,59;-0,08;0,26;3,08;0,90;2,09;0,29;0,70;0,33;-7,49;;686.795,56;4,96;0,15;-0,11;234.080.000,00
TRAD3;4,54;0,00;38.747,82;2,16;2,06;56,89;-47,28;0,03;-26,37;-20,92;5,45;-0,45;12,46;4,67;-3,96;12,08;0,01;0,01;-12,70;0,95;0,05;0,17;;;5.987.510,52;2,10;0,00;-388,44;1.267.412.121,00
TRIS3;4,54;4,84;8,87;0,69;0,37;35,09;18,15;12,98;6,34;8,59;2,25;0,24;1,15;0,70;-1,34;3,72;7,76;4,17;6,10;0,54;0,44;0,32;20,68;105,70;4.237.454,52;6,60;0,51;-0,20;850.975.973,28
TRPL4;23,95;6,20;5,58;1,01;0,51;69,24;74,10;47,45;3,57;5,47;1,56;0,44;2,65;4,32;-0,59;7,49;18,13;9,07;15,71;0,50;0,49;0,19;-6,60;-10,52;39.673.905,56;23,68;4,29;-0,28;17.251.368.722,64
TTEN3;9,32;0,16;10,61;2,01;0,92;12,87;5,99;7,46;13,21;13,13;-0,08;-0,01;0,79;2,50;-3,91;1,93;18,93;8,69;8,40;0,46;0,54;1,16;;;5.785.533,93;4,64;0,88;0,22;4.624.748.470,04
TUPY3;26,12;1,65;8,46;1,29;0,48;17,85;8,49;5,07;5,05;7,25;2,20;0,56;0,43;1,42;-1,33;2,10;15,23;5,64;10,45;0,37;0,63;1,11;16,82;;18.934.936,22;20,27;3,09;0,09;3.765.916.300,00
UCAS3;2,70;4,00;5,51;1,00;0,57;35,55;15,73;13,65;4,78;3,53;-1,25;-0,26;0,75;5,89;-1,08;1,26;18,21;10,32;13,48;0,57;0,43;0,76;3,58;;331.754,04;2,69;0,49;0,08;178.433.182,80
UGPA3;13,79;5,68;9,29;1,42;0,42;3,99;2,03;1,32;6,04;9,36;3,32;0,78;0,12;2,09;-0,96;1,57;15,26;4,56;9,80;0,30;0,69;3,46;7,24;1,16;61.523.069,44;9,72;1,48;0,09;15.378.236.773,20
UNIP3;81,60;17,23;3,94;3,21;1,31;45,28;46,62;31,36;2,65;2,58;-0,14;-0,16;1,24;5,20;-2,62;2,02;81,47;33,34;50,24;0,41;0,59;1,06;47,87;50,28;2.471.386,48;25,44;20,72;0,02;8.675.618.296,25
UNIP6;84,55;18,30;4,08;3,32;1,36;45,28;46,62;31,36;2,74;2,58;-0,14;-0,16;1,28;5,38;-2,72;2,02;81,47;33,34;50,24;0,41;0,59;1,06;47,87;50,28;18.701.751,41;25,44;20,72;0,02;8.675.618.296,25
USIM3;8,46;20,61;1,75;0,45;0,26;27,12;22,57;18,09;1,40;1,50;0,06;0,02;0,32;0,69;-0,54;3,51;25,44;14,66;19,98;0,58;0,36;0,81;31,89;;4.680.241,70;18,98;4,83;-0,18;10.885.914.834,16
USIM5;8,98;21,36;1,86;0,47;0,27;27,12;22,57;18,09;1,49;1,50;0,06;0,02;0,34;0,73;-0,57;3,51;25,44;14,66;19,98;0,58;0,36;0,81;31,89;;143.933.120,19;18,98;4,83;-0,19;10.885.914.834,16
VALE3;70,35;16,94;3,24;1,81;0,76;53,70;43,70;41,78;3,10;3,36;0,26;0,15;1,36;16,44;-0,94;1,32;55,74;23,46;34,13;0,42;0,56;0,56;25,41;50,75;2.151.372.411,48;38,91;21,69;0,24;336.194.859.652,05
VAMO3;15,32;1,28;30,33;5,20;1,18;39,40;29,73;13,05;13,32;17,27;3,95;1,54;3,96;6,59;-1,82;2,05;17,13;3,90;9,05;0,23;0,77;0,30;571,04;549,36;30.021.559,07;2,95;0,51;0,39;14.967.455.700,40
VBBR3;18,05;3,23;9,03;1,67;0,57;5,05;1,91;1,64;7,73;11,26;3,53;0,76;0,15;2,07;-1,18;2,15;18,52;6,32;7,90;0,34;0,66;3,86;8,47;;168.781.743,56;10,80;2,00;-0,20;21.028.250.000,00
VIIA3;2,77;;-9,65;0,79;0,13;30,03;-0,96;-1,49;-15,06;-42,78;-27,72;1,45;0,14;-3,15;-0,25;0,92;-8,15;-1,32;-9,89;0,16;0,84;0,89;9,29;;154.944.190,96;3,53;-0,29;0,07;4.427.639.621,12
